L,X,Y
2,16.7380009,18.6959991
0,17.6599998,18.7119999
2,14.4619999,18.6550007
0,16.7380009,18.6959991
2,12.7938805,18.6161308
0,14.4619999,18.6550007
2,11.5998764,18.5883083
0,12.7938805,18.6161308
2,10.971961,18.5736771
0,11.5998764,18.5883083
2,10.7959166,18.5695744
0,10.971961,18.5736771
2,8.533,18.5240002
0,10.7959166,18.5695744
2,7.3639998,18.4990005
0,8.533,18.5240002
2,6.7030001,18.4850006
0,7.3639998,18.4990005
2,6.4789462,18.4790497
0,6.7030001,18.4850006
2,4.9920001,18.441
0,6.4789462,18.4790497
2,3.3900001,18.3969994
0,4.9920001,18.441
2,9.6827154,18.2092381
0,10.7959166,18.5695744
3,17.6599998,18.7119999
0,19.4839993,18.7250004
0,19.5030003,18.1189995
2,8.6569996,18.0890007
0,8.533,18.5240002
2,5.0978222,18.0533352
0,6.4789462,18.4790497
2,4.9920001,18.441
0,5.0978222,18.0533352
2,8.7724485,17.9145889
0,9.6827154,18.2092381
2,8.7724485,17.9145889
0,8.6569996,18.0890007
3,17.4473476,17.9006481
0,18.7360001,18.0639992
0,19.5030003,18.1189995
3,17.4473476,17.9006481
0,17.5179996,18.4389992
0,17.6599998,18.7119999
2,17.1739998,17.8659992
0,17.4473476,17.9006481
2,17.1739998,17.8659992
0,16.7380009,18.6959991
3,7.9260001,17.6700001
0,7.882,17.8500004
0,8.6569996,18.0890007
2,16.1129227,17.645401
0,17.1739998,17.8659992
5,16.1129227,17.645401
0,15.8950005,18.3330002
0,15.507,18.2420006
0,15.3870001,18.3390007
0,15.3170004,18.5170002
2,3.733,17.6210003
0,5.0978222,18.0533352
2,7.6246362,17.5824795
0,7.9260001,17.6700001
2,7.3639998,18.4990005
0,7.6246362,17.5824795
2,3.405966,17.5355129
0,3.733,17.6210003
2,3.405966,17.5355129
0,3.3900001,18.3969994
2,15.6000004,17.5249996
0,16.1129227,17.645401
2,14.9702625,17.4152355
0,15.6000004,17.5249996
2,14.9702625,17.4152355
0,14.4619999,18.6550007
2,6.99401,17.3993397
0,7.6246362,17.5824795
2,6.99401,17.3993397
0,6.7030001,18.4850006
2,19.5030003,18.1189995
0,19.5272503,17.2641487
3,14.1594124,17.2620544
0,14.783,17.382
0,14.9702625,17.4152355
3,8.8240004,17.1959991
0,8.8760004,17.3260002
0,8.7724485,17.9145889
2,19.3530006,17.184
0,19.5272503,17.2641487
3,18.5079994,17.3279991
0,19.184,17.5620003
0,19.3530006,17.184
3,13.3946438,17.1198883
0,13.816,17.1959991
0,14.1594124,17.2620544
2,13.3946438,17.1198883
0,12.7938805,18.6161308
2,11.5249996,17.0750008
0,10.971961,18.5736771
2,8.1929998,17.0149994
0,8.8240004,17.1959991
2,8.1459999,16.9909992
0,8.1929998,17.0149994
2,7.9260001,17.6700001
0,8.1459999,16.9909992
2,5.4027152,16.9372101
0,6.99401,17.3993397
2,5.0978222,18.0533352
0,5.4027152,16.9372101
3,12.3062029,16.9213066
0,12.7419996,17.0020008
0,13.3946438,17.1198883
2,12.2447538,16.9099293
0,12.3062029,16.9213066
3,14.1594124,17.2620544
0,14.3319998,16.4899998
0,14.3889999,16.4990005
2,15.3170004,16.4099998
0,14.9702625,17.4152355
2,15.3889999,16.1200008
0,16.0689697,16.4080257
2,15.3170004,16.4099998
0,15.3889999,16.1200008
3,14.0244579,15.827219
0,15.1340361,16.3555603
0,15.3170004,16.4099998
2,14.0244579,15.827219
0,13.3946438,17.1198883
3,15.3889999,16.1200008
0,15.5100002,15.7519999
0,15.6070004,15.6219997
2,13.5803728,15.6042328
0,14.0244579,15.827219
2,14.4429998,15.0100002
0,14.0244579,15.827219
2,12.2447538,16.9099293
0,11.5998764,18.5883083
2,19.5272503,17.2641487
0,19.541317,16.7682648
2,19.3530006,17.184
0,19.541317,16.7682648
2,11.165,16.7099991
0,12.2447538,16.9099293
2,3.733,17.6210003
0,4.2443171,16.7018509
2,8.1459999,16.9909992
0,7.1856389,16.6844387
2,7.1856389,16.6844387
0,6.99401,17.3993397
2,10.8289194,16.6464252
0,11.165,16.7099991
2,4.2927132,16.6148548
0,5.4027152,16.9372101
2,4.2443171,16.7018509
0,4.2927132,16.6148548
2,17.1739998,17.8659992
0,17.743,16.5869999
2,10.3191881,16.550005
0,10.8289194,16.6464252
2,9.6827154,18.2092381
0,10.3191881,16.550005
2,19.541317,16.7682648
0,19.5478706,16.5372238
2,15.6000004,17.5249996
0,16.0689697,16.4080257
2,9.4746075,16.3902454
0,10.3191881,16.550005
2,9.3370533,16.9699402
0,9.4746075,16.3902454
2,4.2443171,16.7018509
0,3.4272959,16.3845978
2,3.4272959,16.3845978
0,3.405966,17.5355129
2,9.0890484,16.3173122
0,9.4746075,16.3902454
2,9.0301085,16.3061638
0,9.0890484,16.3173122
2,8.8240004,17.1959991
0,9.0301085,16.3061638
2,8.3710003,16.1749992
0,9.0301085,16.3061638
2,8.1929998,17.0149994
0,8.3710003,16.1749992
2,18.7351665,16.1498737
0,19.5478706,16.5372238
3,18.7351665,16.1498737
0,18.3939991,16.8759995
0,17.743,16.5869999
2,7.868,16.0779991
0,8.3710003,16.1749992
2,3.518651,16.0325737
0,3.944,16.1590004
2,3.4272959,16.3845978
0,3.518651,16.0325737
2,7.375,15.9779997
0,7.868,16.0779991
2,7.375,15.9779997
0,7.1856389,16.6844387
2,16.0689697,16.4080257
0,16.2697639,15.9297791
2,10.8289194,16.6464252
0,11.026,15.8590002
2,6.6325169,15.821804
0,7.375,15.9779997
2,5.6999531,15.6256208
0,6.6325169,15.821804
2,5.4027152,16.9372101
0,5.6999531,15.6256208
2,15.6070004,15.6219997
0,16.2697639,15.9297791
3,17.743,16.5869999
0,17.0990009,16.2549992
0,17.4214344,15.5421467
2,5.0250001,15.5159998
0,5.6999531,15.6256208
2,4.9097862,15.4901791
0,5.0250001,15.5159998
2,4.2927132,16.6148548
0,4.9097862,15.4901791
3,18.90695,15.3761148
0,19.0639992,15.4499998
0,18.7351665,16.1498737
2,13.0880003,15.3570004
0,13.5803728,15.6042328
2,12.3062029,16.9213066
0,13.0880003,15.3570004
2,15.6070004,15.6219997
0,15.6938972,15.3395834
2,10.2639999,15.6700001
0,9.4910889,15.3207779
2,9.0890484,16.3173122
0,9.4910889,15.3207779
3,13.5803728,15.6042328
0,13.6700001,15.3889999
